q_id,query,linked_word,paragraph_text,gold_article_id,faiss_rank,rerank_rank,faiss_article_ids,rerank_article_ids
1,"Retrieve the correct article for the term 'Craig Mazin' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Craig Mazin,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",147,7,9,146|149|155|152|179|153|147|174|154|150|181|175|151|178|182|148|177|176|183|180|191|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|175|176|178|174|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|152|153|149|150|151|179|187
2,"Retrieve the correct article for the term 'Johan Renck' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Johan Renck,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",148,4,1,146|174|154|148|179|181|152|175|149|153|155|177|178|150|182|151|176|191|180|147|183|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|175|178|176|174|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|152|155|153|149|150|151|179|187
3,"Retrieve the correct article for the term 'HBO' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",HBO,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",149,1,42,149|146|155|153|154|179|151|174|150|152|175|181|176|178|182|180|1|183|177|191|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|175|178|176|174|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|149|154|153|155|152|151|150|179|187
4,"Retrieve the correct article for the term 'Sky UK' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Sky UK,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",151,1,43,151|146|149|155|153|152|179|154|175|150|174|181|182|178|180|177|1|147|176|183|148|191|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|178|176|175|174|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|151|155|149|152|153|150|179|187
5,"Retrieve the correct article for the term 'Sister Pictures' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Sister Pictures,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",150,1,49,150|146|179|149|155|153|152|175|181|151|154|182|174|183|177|176|148|178|180|191|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|178|175|174|176|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|152|149|155|153|151|179|150|187
6,"Retrieve the correct article for the term 'The Mighty Mint' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",The Mighty Mint,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",152,1,47,152|146|149|155|154|153|179|151|174|175|150|181|178|177|182|176|191|147|183|1|148|180|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|178|175|176|174|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|181|1|182|183|154|153|155|150|149|152|151|179|187
7,"Retrieve the correct article for the term 'Word Games' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Word Games,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",153,1,48,153|146|149|155|154|179|152|150|175|151|174|181|178|191|147|177|176|1|148|183|182|180|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|178|175|174|176|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|149|152|155|150|151|153|179|187
8,"Retrieve the correct article for the term 'Hildur Guðnadóttir' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Hildur Guðnadóttir,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",154,2,42,146|154|149|153|179|155|152|175|174|181|150|151|178|191|177|176|182|183|180|148|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|178|175|176|174|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|152|153|149|151|150|179|187
9,"Retrieve the correct article for the term 'Warner Bros. Television Distribution' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Warner Bros. Television Distribution,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",155,1,43,155|146|149|153|152|150|151|179|154|175|181|174|178|177|176|191|1|182|183|148|147|180|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|177|178|175|174|176|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|152|149|153|151|150|179|187
10,Retrieve the correct article for the term 'Chernobyl' given this context: HBO is a production company of Chernobyl .,Chernobyl,HBO is a production company of Chernobyl .,146,3,43,149|155|146|153|179|150|152|175|151|154|181|174|178|1|180|177|182|176|183|191|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|176|177|175|174|178|147|180|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|154|179|183|146|153|152|155|150|187|151|149
